Estado	Contaminados	Total	Taxa	Subgrupo
DF	25	6128	0.407963446	Indigena
ES	12	9160	0.131004367	Indigena
MG	16	31112	0.051427102	Indigena
RJ	54	15894	0.339750849	Indigena
SC	28	16041	0.174552709	Indigena
SP	153	41794	0.366081256	Indigena
AC	10	15921	0.062810125	Indigena
AL	12	14509	0.082707285	Indigena
AM	514	168680	0.304718995	Indigena
BA	32	56381	0.056756709	Indigena
CE	33	19336	0.170666115	Indigena
GO	17	8533	0.199226532	Indigena
MA	35	35272	0.09922885	Indigena
PA	133	39081	0.340318825	Indigena
PE	45	53284	0.084453119	Indigena
PI	15	2944	0.50951087	Indigena
RO	43	12015	0.357885976	Indigena
SE	5	5219	0.095803794	Indigena
TO	34	13131	0.258929251	Indigena
MS	275	73295	0.375196125	Indigena
RN	7	2597	0.269541779	Indigena
RS	120	32989	0.363757616	Indigena
AP	75	7408	1.012419006	Indigena
MT	166	42538	0.390239315	Indigena
PB	32	19149	0.167110554	Indigena
PR	32	25915	0.12348061	Indigena
RR	96	49637	0.193404114	Indigena
DF	4	58128	0.006881365	Saude
ES	0	61110	0.0	Saude
MG	50	347120	0.014404241	Saude
RJ	76	370288	0.020524565	Saude
SC	21	103798	0.020231604	Saude
SP	192	868585	0.022104918	Saude
AC	6	9697	0.061874807	Saude
AL	6	37898	0.01583197	Saude
AM	50	41697	0.119912704	Saude
BA	38	186463	0.020379378	Saude
CE	17	104106	0.01632951	Saude
GO	29	96125	0.030169051	Saude
MA	7	66859	0.010469795	Saude
PA	42	73176	0.057395867	Saude
PE	54	121231	0.044543062	Saude
PI	18	40645	0.04428589	Saude
RO	11	20687	0.053173491	Saude
SE	9	27014	0.033316058	Saude
TO	3	24041	0.012478682	Saude
MS	12	40553	0.029590906	Saude
RN	19	49799	0.038153377	Saude
RS	12	211637	0.005670086	Saude
AP	9	9567	0.094073377	Saude
MT	179	41524	0.431076004	Saude
PB	15	53448	0.028064661	Saude
PR	21	181854	0.011547725	Saude
RR	7	7042	0.099403579	Saude
DF	2310	22622	10.211298736	Maior80
ES	1399	52284	2.67577079	Maior80
MG	8421	330042	2.551493446	Maior80
RJ	12893	304841	4.229417959	Maior80
SC	2816	80737	3.487868016	Maior80
SP	25890	667808	3.876862811	Maior80
AC	189	6492	2.911275416	Maior80
AL	1005	38255	2.627107568	Maior80
AM	2161	27701	7.801162413	Maior80
BA	4380	232401	1.884673474	Maior80
CE	5344	153572	3.479801005	Maior80
GO	2937	66927	4.388363441	Maior80
MA	1336	81649	1.636272336	Maior80
PA	2771	68244	4.060430221	Maior80
PE	4333	142917	3.031829663	Maior80
PI	1642	51267	3.202840034	Maior80
RO	526	11999	4.383698642	Maior80
SE	1122	28175	3.982253771	Maior80
TO	561	15871	3.534748913	Maior80
MS	1183	31047	3.810352047	Maior80
RN	1260	60452	2.084298286	Maior80
RS	5309	201901	2.62950654	Maior80
AP	212	4347	4.876926616	Maior80
MT	919	25723	3.572678148	Maior80
PB	2082	79857	2.607160299	Maior80
PR	4148	145599	2.848920666	Maior80
RR	152	2854	5.325858444	Maior80
DF	1367	21297	6.418744424	Maior75
ES	719	47308	1.519827513	Maior75
MG	4406	298119	1.477933309	Maior75
RJ	6526	269399	2.422429185	Maior75
SC	1760	78372	2.245699995	Maior75
SP	14895	601328	2.477017535	Maior75
AC	114	5508	2.069716776	Maior75
AL	628	32547	1.929517313	Maior75
AM	1372	24686	5.557806044	Maior75
BA	2224	178832	1.243625302	Maior75
CE	2656	112021	2.370984012	Maior75
GO	1727	66579	2.593910993	Maior75
MA	766	71216	1.075600989	Maior75
PA	1772	62725	2.825029892	Maior75
PE	2382	112480	2.117709815	Maior75
PI	828	41796	1.981050818	Maior75
RO	334	13015	2.566269689	Maior75
SE	613	22201	2.761136886	Maior75
TO	336	14588	2.303262956	Maior75
MS	673	29163	2.307718685	Maior75
RN	621	40425	1.536178108	Maior75
RS	3099	187088	1.65643975	Maior75
AP	144	3930	3.664122137	Maior75
MT	718	26851	2.674015865	Maior75
PB	998	55005	1.814380511	Maior75
PR	2752	144393	1.905909566	Maior75
RR	95	2575	3.689320388	Maior75
DF	1650	35652	4.628071356	Maior70
ES	808	65646	1.230844225	Maior70
MG	5048	425228	1.187127847	Maior70
RJ	7873	376282	2.092313743	Maior70
SC	2278	116977	1.947391368	Maior70
SP	18374	856205	2.145981395	Maior70
AC	154	8085	1.904761905	Maior70
AL	717	49387	1.451799056	Maior70
AM	1651	36569	4.514752933	Maior70
BA	2442	262993	0.928541824	Maior70
CE	2835	170880	1.659058989	Maior70
GO	2082	103852	2.004776027	Maior70
MA	802	106371	0.753964896	Maior70
PA	1919	95342	2.012754085	Maior70
PE	2605	174247	1.495004218	Maior70
PI	999	62446	1.599782212	Maior70
RO	461	20285	2.272615233	Maior70
SE	692	32652	2.119318878	Maior70
TO	353	21883	1.613124343	Maior70
MS	993	43989	2.257382527	Maior70
RN	732	62251	1.175884725	Maior70
RS	3818	262045	1.45700166	Maior70
AP	187	5978	3.128136501	Maior70
MT	847	43160	1.962465246	Maior70
PB	1115	85415	1.305391325	Maior70
PR	3245	213656	1.51879657	Maior70
RR	107	4160	2.572115385	Maior70
DF	1788	48075	3.719188768	Maior65
ES	843	84379	0.999063748	Maior65
MG	5418	541798	1.000003691	Maior65
RJ	8368	476867	1.754786974	Maior65
SC	2553	157357	1.62242544	Maior65
SP	20704	1109086	1.866762361	Maior65
AC	167	11621	1.43705361	Maior65
AL	780	67566	1.154426783	Maior65
AM	1945	51722	3.760488767	Maior65
BA	2635	340252	0.774426014	Maior65
CE	2574	205083	1.255101593	Maior65
GO	2222	138430	1.605143394	Maior65
MA	792	137101	0.577676312	Maior65
PA	2030	134385	1.510585259	Maior65
PE	2566	219690	1.168009468	Maior65
PI	934	77212	1.20965653	Maior65
RO	482	28217	1.708190098	Maior65
SE	649	43955	1.476510067	Maior65
TO	342	28304	1.20830978	Maior65
MS	1084	58199	1.862574958	Maior65
RN	627	76106	0.823850945	Maior65
RS	4012	343579	1.167708154	Maior65
AP	207	8832	2.34375	Maior65
MT	1043	60467	1.724907801	Maior65
PB	1014	101341	1.000582193	Maior65
PR	3760	285180	1.318465531	Maior65
RR	130	6006	2.164502165	Maior65
DF	1830	69967	2.615518745	Maior60
ES	766	115128	0.665346397	Maior60
MG	5112	715377	0.714588252	Maior60
RJ	7654	653219	1.171735666	Maior60
SC	2486	223470	1.112453573	Maior60
SP	20937	1537009	1.362191113	Maior60
AC	167	15220	1.097240473	Maior60
AL	777	89008	0.87295524	Maior60
AM	1775	69547	2.552230865	Maior60
BA	2450	436728	0.560989907	Maior60
CE	2350	267919	0.877130775	Maior60
GO	2199	185837	1.183295038	Maior60
MA	722	172343	0.418932013	Maior60
PA	1839	174438	1.054242768	Maior60
PE	2489	288609	0.862412468	Maior60
PI	919	99156	0.926822381	Maior60
RO	482	39169	1.230564988	Maior60
SE	663	58974	1.124224234	Maior60
TO	356	36908	0.964560529	Maior60
